,Team,Group,Position,Name,DOB,Caps,Goals,Country and Club
0,Egypt,A,DF,Ahmed Elmohamady,1987-09-09,76,2,England Aston Villa
1,Egypt,A,DF,Ahmed Fathy,1984-11-10,124,3,Egypt Al Ahly
2,Egypt,A,DF,Ahmed Hegazi,1991-01-25,43,1,England West Bromwich Albion
3,Egypt,A,DF,Ali Gabr,1993-07-28,20,1,England West Bromwich Albion
4,Egypt,A,DF,Ayman Ashraf,1991-04-09,4,0,Egypt Al Ahly
5,Egypt,A,DF,Mahmoud Hamdy,1995-06-01,0,0,Egypt Zamalek
6,Egypt,A,DF,Mohamed Abdel-Shafy,1985-07-01,49,1,Saudi Arabia Al Fateh
7,Egypt,A,DF,Omar Gaber,1992-01-30,23,0,United States Los Angeles FC
8,Egypt,A,DF,Saad Samir,1989-04-01,10,0,Egypt Al Ahly
9,Egypt,A,FW,Marwan Mohsen,1989-02-26,22,4,Egypt Al Ahly
10,Egypt,A,FW,Mohamed Salah,1992-06-15,57,33,England Liverpool
11,Egypt,A,GK,Essam El-Hadary (captain),1973-01-15,156,0,Saudi Arabia Al Taawoun
12,Egypt,A,GK,Mohamed El-Shenawy,1988-12-18,1,0,Egypt Al Ahly
13,Egypt,A,GK,Sherif Ekramy,1983-07-01,22,0,Egypt Al Ahly
14,Egypt,A,MF,Abdallah Said,1985-07-13,34,6,Finland KuPS
15,Egypt,A,MF,Amr Warda,1993-09-13,14,0,Greece Atromitos
16,Egypt,A,MF,Kahraba,1994-04-13,17,3,Saudi Arabia Al Ittihad
17,Egypt,A,MF,Mohamed Elneny,1992-07-11,60,5,England Arsenal
18,Egypt,A,MF,Ramadan Sobhi,1997-01-23,21,1,England Stoke City
19,Egypt,A,MF,Sam Morsy,1991-09-10,3,0,England Wigan Athletic
20,Egypt,A,MF,Shikabala,1986-03-05,28,2,Saudi Arabia Al Raed
21,Egypt,A,MF,Tarek Hamed,1988-10-24,19,0,Egypt Zamalek
22,Egypt,A,MF,Trézéguet,1994-10-01,23,2,Turkey Kasımpaşa
23,Russia,A,DF,Andrei Semyonov,1989-03-24,6,0,Russia Akhmat Grozny
24,Russia,A,DF,Fyodor Kudryashov,1987-04-05,17,0,Russia Rubin Kazan
25,Russia,A,DF,Igor Smolnikov,1988-08-08,25,0,Russia Zenit Saint Petersburg
26,Russia,A,DF,Ilya Kutepov,1993-07-29,6,0,Russia Spartak Moscow
27,Russia,A,DF,Mário Fernandes,1990-09-19,3,0,Russia CSKA Moscow
28,Russia,A,DF,Sergei Ignashevich,1979-07-14,120,8,Russia CSKA Moscow
29,Russia,A,DF,Vladimir Granat,1987-05-22,11,1,Russia Rubin Kazan
30,Russia,A,FW,Aleksei Miranchuk,1995-10-17,16,4,Russia Lokomotiv Moscow
31,Russia,A,FW,Artem Dzyuba,1988-08-22,22,11,Russia Arsenal Tula
32,Russia,A,FW,Fyodor Smolov,1990-02-05,30,12,Russia Krasnodar
33,Russia,A,GK,Andrey Lunyov,1991-11-13,3,0,Russia Zenit Saint Petersburg
34,Russia,A,GK,Igor Akinfeev (captain),1986-04-08,104,0,Russia CSKA Moscow
35,Russia,A,GK,Vladimir Gabulov,1983-10-19,10,0,Belgium Club Brugge
36,Russia,A,MF,Alan Dzagoev,1990-06-17,55,9,Russia CSKA Moscow
37,Russia,A,MF,Aleksandr Golovin,1996-05-30,17,2,Russia CSKA Moscow
38,Russia,A,MF,Aleksandr Samedov,1984-07-19,46,6,Russia Spartak Moscow
39,Russia,A,MF,Aleksandr Yerokhin,1989-10-13,17,0,Russia Zenit Saint Petersburg
40,Russia,A,MF,Anton Miranchuk,1995-10-17,4,0,Russia Lokomotiv Moscow
41,Russia,A,MF,Daler Kuzyayev,1993-01-15,4,0,Russia Zenit Saint Petersburg
42,Russia,A,MF,Denis Cheryshev,1990-12-26,10,0,Spain Villarreal
43,Russia,A,MF,Roman Zobnin,1994-02-11,10,0,Russia Spartak Moscow
44,Russia,A,MF,Yuri Zhirkov,1983-08-20,82,2,Russia Zenit Saint Petersburg
45,Russia,A,MF,Yury Gazinsky,1989-07-20,5,0,Russia Krasnodar
